 ,Pairer,Assigned,Finalized (Pairer Email Sent),Days Taken,Pairer Finalized (CheckBox),Chair Finalized (check Box),Repairing (check Box),Pairing Status,,
1,Pairer 1,1/1/2024,1/7/2024,6,TRUE,TRUE,FALSE,Paired,,
2,Pairer 2,1/3/2024,1/7/2024,4,TRUE,TRUE,FALSE,Paired,,CheckBox = email sent + student finalized
3,Pairer 3,1/3/2024,1/3/2024,0,TRUE,TRUE,FALSE,Paired,,"Pairers Logs from January 1st, 2024"
4,Pairer 4,1/3/2024,1/5/2024,2,TRUE,TRUE,FALSE,Paired,,
5,Pairer 5,1/4/2024,1/5/2024,1,TRUE,TRUE,FALSE,Paired,,
6,Pairer 6,1/4/2024,1/6/2024,2,TRUE,TRUE,TRUE,Paired,,
7,Pairer 7,1/4/2024,1/5/2024,1,TRUE,TRUE,FALSE,Rejected,,
8,Pairer 1,1/5/2024,1/14/2024,9,TRUE,TRUE,TRUE,Paired,,
9,Pairer 3,1/5/2024,1/7/2024,2,TRUE,TRUE,FALSE,Paired,,
10,Pairer 4,1/5/2024,1/6/2024,1,TRUE,TRUE,FALSE,Paired,,
11,Pairer 5,1/7/2024,1/8/2024,1,TRUE,TRUE,FALSE,Rejected,,
12,Pairer 7,1/7/2024,1/11/2024,4,TRUE,TRUE,FALSE,Paired,,
13,Pairer 1,1/7/2024,1/16/2024,9,TRUE,TRUE,FALSE,Paired,,
14,Pairer 3,1/10/2024,1/13/2024,3,TRUE,TRUE,FALSE,Rejected,,
15,Pairer 4,1/11/2024,1/12/2024,1,TRUE,TRUE,FALSE,Paired,,
16,Pairer 5,1/11/2024,1/14/2024,3,TRUE,TRUE,FALSE,Rejected,,
17,Pairer 7,1/14/2024,1/17/2024,3,TRUE,TRUE,FALSE,Paired,,
18,Pairer 1,1/15/2024,1/18/2024,3,TRUE,TRUE,FALSE,Paired,,
19,Pairer 3,1/15/2024,1/15/2024,0,TRUE,TRUE,FALSE,Paired,,
20,Pairer 4 ,1/16/2024,1/24/2024,8,TRUE,TRUE,FALSE,Rejected,,
21,Pairer 5,1/16/2024,1/16/2024,0,TRUE,TRUE,FALSE,Paired,,
22,Pairer 6,1/17/2024,,,FALSE,FALSE,FALSE,,,
23,Pairer 7,1/19/2024,,,FALSE,FALSE,FALSE,,,
24,Pairer 1,1/19/2024,,,FALSE,FALSE,FALSE,,,